"Run","Fraction","TechRepMixture","Channel","Condition","Mixture","BioReplicate"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture2_03","1","3","channel.0","Norm","Mixture2","Norm"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture2_03","1","3","channel.1","0.5","Mixture2","0.5"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture2_03","1","3","channel.2","1","Mixture2","1"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture2_03","1","3","channel.3","0.667","Mixture2","0.667"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture2_03","1","3","channel.4","0.125","Mixture2","0.125"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture2_03","1","3","channel.5","1","Mixture2","1"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture2_03","1","3","channel.6","0.667","Mixture2","0.667"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture2_03","1","3","channel.7","0.125","Mixture2","0.125"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture2_03","1","3","channel.8","0.5","Mixture2","0.5"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture2_03","1","3","channel.9","Norm","Mixture2","Norm"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture3_01","1","1","channel.0","Norm","Mixture3","Norm"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture3_01","1","1","channel.1","0.125","Mixture3","0.125"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture3_01","1","1","channel.2","0.667","Mixture3","0.667"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture3_01","1","1","channel.3","1","Mixture3","1"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture3_01","1","1","channel.4","0.5","Mixture3","0.5"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture3_01","1","1","channel.5","0.5","Mixture3","0.5"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture3_01","1","1","channel.6","0.125","Mixture3","0.125"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture3_01","1","1","channel.7","0.667","Mixture3","0.667"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture3_01","1","1","channel.8","1","Mixture3","1"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture3_01","1","1","channel.9","Norm","Mixture3","Norm"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture3_02","1","2","channel.0","Norm","Mixture3","Norm"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture3_02","1","2","channel.1","0.125","Mixture3","0.125"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture3_02","1","2","channel.2","0.667","Mixture3","0.667"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture3_02","1","2","channel.3","1","Mixture3","1"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture3_02","1","2","channel.4","0.5","Mixture3","0.5"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture3_02","1","2","channel.5","0.5","Mixture3","0.5"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture3_02","1","2","channel.6","0.125","Mixture3","0.125"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture3_02","1","2","channel.7","0.667","Mixture3","0.667"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture3_02","1","2","channel.8","1","Mixture3","1"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture3_02","1","2","channel.9","Norm","Mixture3","Norm"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture3_03","1","3","channel.0","Norm","Mixture3","Norm"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture3_03","1","3","channel.1","0.125","Mixture3","0.125"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture3_03","1","3","channel.2","0.667","Mixture3","0.667"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture3_03","1","3","channel.3","1","Mixture3","1"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture3_03","1","3","channel.4","0.5","Mixture3","0.5"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture3_03","1","3","channel.5","0.5","Mixture3","0.5"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture3_03","1","3","channel.6","0.125","Mixture3","0.125"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture3_03","1","3","channel.7","0.667","Mixture3","0.667"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture3_03","1","3","channel.8","1","Mixture3","1"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture3_03","1","3","channel.9","Norm","Mixture3","Norm"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture4_01","1","1","channel.0","Norm","Mixture4","Norm"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture4_01","1","1","channel.1","1","Mixture4","1"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture4_01","1","1","channel.2","0.5","Mixture4","0.5"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture4_01","1","1","channel.3","0.125","Mixture4","0.125"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture4_01","1","1","channel.4","0.667","Mixture4","0.667"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture4_01","1","1","channel.5","0.667","Mixture4","0.667"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture4_01","1","1","channel.6","1","Mixture4","1"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture4_01","1","1","channel.7","0.5","Mixture4","0.5"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture4_01","1","1","channel.8","0.125","Mixture4","0.125"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture4_01","1","1","channel.9","Norm","Mixture4","Norm"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture4_02","1","2","channel.0","Norm","Mixture4","Norm"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture4_02","1","2","channel.1","1","Mixture4","1"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture4_02","1","2","channel.2","0.5","Mixture4","0.5"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture4_02","1","2","channel.3","0.125","Mixture4","0.125"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture4_02","1","2","channel.4","0.667","Mixture4","0.667"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture4_02","1","2","channel.5","0.667","Mixture4","0.667"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture4_02","1","2","channel.6","1","Mixture4","1"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture4_02","1","2","channel.7","0.5","Mixture4","0.5"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture4_02","1","2","channel.8","0.125","Mixture4","0.125"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture4_02","1","2","channel.9","Norm","Mixture4","Norm"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture4_03","1","3","channel.0","Norm","Mixture4","Norm"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture4_03","1","3","channel.1","1","Mixture4","1"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture4_03","1","3","channel.2","0.5","Mixture4","0.5"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture4_03","1","3","channel.3","0.125","Mixture4","0.125"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture4_03","1","3","channel.4","0.667","Mixture4","0.667"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture4_03","1","3","channel.5","0.667","Mixture4","0.667"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture4_03","1","3","channel.6","1","Mixture4","1"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture4_03","1","3","channel.7","0.5","Mixture4","0.5"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture4_03","1","3","channel.8","0.125","Mixture4","0.125"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture4_03","1","3","channel.9","Norm","Mixture4","Norm"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture5_01","1","1","channel.0","Norm","Mixture5","Norm"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture5_01","1","1","channel.1","0.667","Mixture5","0.667"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture5_01","1","1","channel.2","0.125","Mixture5","0.125"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture5_01","1","1","channel.3","0.5","Mixture5","0.5"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture5_01","1","1","channel.4","1","Mixture5","1"
